((10,[[(1,19),(4,4),(12,-9),(9,18)],[(11,-21),(4,12),(9,6),(4,13)],[(-9,3),(-12,12),(-13,12),(18,3)],[(-3,1),(12,20),(-15,-12),(-10,1)]]),10,10,19,19)
((21,[[(-173,884),(91,-436),(-64,-549),(-882,-63)],[(3,480),(939,-424),(-524,539),(490,-7)],[(-746,111),(-114,-345),(577,298),(119,980)],[(595,364),(539,644),(840,315),(-282,145)]]),28,28,40,54)
((8,[[(3,-9),(-4,2),(5,-9),(-6,2)],[(2,5),(-9,-9),(-3,-4),(2,6)],[(-2,-4),(0,0),(8,6),(6,10)],[(-6,9),(-5,7),(5,0),(-6,2)]]),12,12,16,23)
((7,[[(-2,3),(2,1),(6,3),(-7,-4)],[(-6,1),(-2,3),(-6,1),(-5,4)],[(-5,0),(9,0),(-1,-4),(2,-1)],[(7,-2),(5,2),(-5,2),(-4,-1)]]),8,8,12,15)
((10,[[(-9,6),(-23,-10),(-7,-7),(-6,-12)],[(-16,-15),(-4,7),(-13,-7),(8,14)],[(-13,5),(-7,7),(26,-4),(2,6)],[(6,-14),(-6,14),(4,0),(12,-20)]]),12,12,20,24)
((14,[[(59,42),(-35,70),(-56,19),(-34,-19)],[(15,-76),(-23,12),(-18,3),(56,-79)],[(-57,32),(49,64),(-30,3),(68,9)],[(24,17),(8,55),(91,-58),(1,-28)]]),14,14,26,26)
((12,[[(4,-14),(26,12),(18,-42),(-20,-24)],[(13,36),(36,-1),(-15,-7),(32,-6)],[(43,-1),(11,25),(-4,10),(-22,30)],[(-13,-20),(12,33),(-33,23),(0,-26)]]),14,14,24,26)
((6,[[(-2,0),(-2,0),(6,2),(0,-4)],[(0,-5),(0,5),(0,-2),(3,-1)],[(0,-1),(4,-3),(4,-2),(3,3)],[(-5,-3),(-3,-1),(0,0),(-2,4)]]),8,8,12,14)
((10,[[(-6,-7),(10,-15),(-13,-2),(21,0)],[(5,14),(5,-10),(-10,17),(-8,15)],[(14,0),(-10,16),(-20,2),(8,-2)],[(21,9),(13,-7),(3,-7),(-1,-15)]]),13,13,19,26)
((6,[[(-3,0),(4,3),(4,-2),(-1,-3)],[(3,-4),(0,-3),(0,-2),(1,-5)],[(0,-2),(2,-4),(4,4),(-2,2)],[(1,5),(-3,-1),(2,2),(-2,-4)]]),7,7,12,12)
