((47,[[(4898094,3374407),(-4860159,7538343),(897932,-3718982),(1370782,2897521)],[(-1832348,847493),(-4059519,370059),(-2439360,-895490),(5911328,-8851493)],[(-3125200,-2666087),(-4266567,2528955),(-7532120,5261590),(-226396,3846423)],[(-4412175,-8058636),(-2679001,3449179),(5426502,-2341776),(-1373553,-661224)]]),69,69,93,135)
((40,[[(-376867,-49736),(-12383,-770380),(362297,114892),(-136050,-445423)],[(-525537,-9582),(62867,-368018),(-394389,-317914),(270248,595143)],[(552081,-263378),(-182051,-484974),(-486395,308186),(-303432,182697)],[(-507882,215923),(186986,251351),(-341998,499919),(-574331,-8120)]]),65,65,78,126)
((21,[[(709,-901),(14,78),(-131,-813),(-306,68)],[(255,834),(-140,-22),(-961,-454),(-171,397)],[(134,-60),(232,-1404),(6,116),(-142,130)],[(22,-7),(-102,-188),(-498,-167),(393,-1273)]]),26,26,42,51)
((37,[[(-85241,23553),(-40047,51235),(-65909,294569),(21415,-183891)],[(-119480,-218330),(143004,88750),(139132,-3486),(166044,-15110)],[(-238140,-14879),(-3502,22525),(-58062,70779),(-128446,234751)],[(-15771,102440),(66297,316178),(-86065,-105670),(-37277,-48678)]]),50,50,73,98)
((30,[[(9862,1249),(-654,4287),(7512,23871),(14278,-11225)],[(4450,-4671),(-21802,15423),(-10196,-1353),(-9430,-11145)],[(7197,11613),(-5045,16411),(12613,-13271),(12399,10167)],[(24896,11262),(3344,-5982),(-1100,2298),(-15896,4578)]]),39,39,59,76)
((40,[[(65764,15624),(183797,492989),(641458,-433705),(346843,-313456)],[(-360500,19168),(77993,680533),(-599128,198237),(284485,-144194)],[(204380,-798512),(323761,312709),(92708,178489),(-307639,287082)],[(534044,-4400),(333185,-199659),(-246620,-20407),(713177,305866)]]),46,46,79,91)
((28,[[(-3542,-7671),(-192,-601),(7770,5854),(712,-374),(654,-381)],[(1229,-176),(363,425),(86,-460),(-3,156)]]),33,33,41,65)
((32,[[(41295,17201),(-2241,27313),(1479,-30377),(12009,-21763)],[(-27760,2345),(-9464,-21455),(-13353,-17704),(6587,-49334)],[(-28661,11564),(34243,16676),(14124,-33813),(-21870,8247)],[(-12698,20032),(27926,27632),(-19216,34150),(21756,-13426)]]),43,43,63,87)
((38,[[(82535,375353),(58268,138416),(165766,-231003),(-125801,89192)],[(-211808,130322),(-19508,-233068),(-303861,-59777),(-206497,140657)],[(143209,-86159),(176160,-15308),(103953,255334),(-360588,98253)],[(161578,-106254),(-401264,-73096),(54958,-138240),(-206868,-78738)]]),51,51,76,99)
((28,[[(-9566,1782),(-5355,-6106),(6217,-456),(3679,-7443)],[(-9930,5734),(4256,-1535),(-522,-783),(-3875,10029)],[(-618,-1450),(-1452,10045),(10642,-1803),(4941,4693)],[(686,6270),(8376,2973),(4342,9661),(-1983,-5791)]]),37,37,55,71)
((37,[[(103921,-82512),(-157694,171815),(203206,9585),(139439,67938)],[(5090,113685),(176417,-145304),(183031,-76752),(110596,143631)],[(-35263,241001),(-87325,49209),(148365,-66969),(-122819,-162743)],[(-208156,-65016),(-141360,-28020),(11664,-173292),(-97396,171648)]]),46,46,73,92)
((39,[[(343523,-293814),(-354187,127210),(72255,-259836),(-100303,347842)],[(52463,132168),(-190239,-400228),(-304441,-313158),(373997,-50356)],[(131907,-403372),(10877,-232320),(361555,203134),(317529,-206752)],[(-27491,-379916),(191939,-347592),(-334435,49354),(-363033,30456)]]),45,45,76,91)
((31,[[(-4316,19815),(-2796,17103),(-24946,26499),(-2280,-10305)],[(3294,-20876),(-31378,12084),(2430,13456),(-8482,17644)],[(33305,7605),(-7007,11197),(-4333,-8949),(26445,2785)],[(-10087,4556),(-20303,-11396),(19949,11798),(20513,-22912)]]),41,41,61,81)
((40,[[(-31896,299952),(-295827,474731),(-595718,557039),(-116189,130260)],[(-237072,8360),(213049,-344631),(1161,98678),(-566632,740451)],[(-164744,-845840),(236659,165357),(-350726,75509),(322153,202688)],[(-457056,27640),(-132255,722237),(370963,-397840),(-76794,221229)]]),51,51,79,101)
((33,[[(47525,-29213),(-37714,45284),(-20400,-12269),(36036,-11817)],[(17245,-8407),(-24120,31698),(49167,40610),(-45989,21302)],[(60161,33945),(50844,5366),(15689,-4856),(-7819,-29556)],[(-2133,18267),(-3988,30010),(-43817,-42036),(-58661,14392)]]),46,46,65,89)
((43,[[(30041,-1464972),(2148835,102908),(417819,-1002405),(816842,417548)],[(1247269,959692),(1558887,-1213116),(-227737,1304087),(-735774,351788)],[(908568,-550737),(-484280,-26635),(-2187265,-854055),(-357164,1338262)],[(279610,1722025),(-108962,-138285),(167047,-568115),(2113344,951138)]]),51,51,85,101)
((53,[[(-7849978,-6110252),(-25449684,3351054),(57295144,-3815030),(117486,70370620)],[(-48033993,4930947),(-59625407,-1107725),(-8920639,-38466761),(-33319177,-21207717)],[(-42534844,-56275965),(-8516375,37463436),(-18007089,41561758),(22308200,2381935)],[(-38513117,-10826164),(43988540,-37159625),(-38921298,-24168975),(-12508977,42841832)]]),60,60,105,120)
((26,[[(-3579,-6117),(-1895,-1506),(3000,-404),(-1259,-524)],[(3064,-1104),(-2244,5628),(944,-2480),(-3564,-220)],[(-2024,1306),(2085,2839),(2572,5916),(-2325,-1371)],[(389,-567),(-2084,2791),(2604,1584),(5586,3743)]]),33,33,52,64)
((41,[[(-681591,-13229),(371453,-8193),(1217483,-232381),(214769,117669)],[(-750696,-942980),(393368,25932),(-597708,-436928),(-206588,4136)],[(222257,148188),(848045,-387836),(119530,232161),(-770256,-772391)],[(-189439,417470),(-100083,1012894),(31448,-213123),(-915618,260993)]]),54,54,81,108)
((40,[[(-451790,-183061),(421617,-96502),(-723509,-328268),(207466,23351)],[(123105,23000),(373832,599117),(-263166,400971),(-510555,307304)],[(-736167,-393584),(-320528,-102299),(215114,137763),(-405891,243840)],[(-280548,265791),(546989,-36692),(381075,-166678),(-374596,-579909)]]),52,52,78,104)
((36,[[(69637,-92730),(-153595,6666),(83122,-19077),(143052,62437)],[(164790,110095),(-27990,80175),(-20497,-140338),(-44703,-10868)],[(-50668,73395),(54024,-73621),(-116453,-94096),(161961,61482)],[(52398,-72767),(78682,-152783),(90641,-103442),(727,-110584)]]),50,50,70,98)
((36,[[(3547,-69779),(-101293,140312),(142681,74376),(16816,87850)],[(103949,-83517),(-25239,-102668),(603,-112356),(82216,142750)],[(153919,-30005),(109014,107841),(-102270,86627),(51090,6388)],[(-101161,105983),(46600,-43689),(-20264,108773),(118558,129904)]]),45,45,71,89)
((37,[[(-13471,-5709),(-157410,-67434),(-47159,80827),(-235822,-208640)],[(-276210,76256),(19584,-69260),(134926,-170672),(-50586,-16082)],[(218606,-62747),(86706,-98988),(130886,-191275),(-120415,-13401)],[(-51862,-26505),(248294,154812),(-159950,-45241),(-122309,-76419)]]),48,48,74,95)
((29,[[(6106,-12268),(4623,-2912),(3971,11049),(801,-13444)],[(-2566,-4738),(-20443,-1413),(-7740,4546),(1823,-2007)],[(-6728,-2368),(1188,-4968),(7340,11444),(10556,12792)],[(-9590,13312),(3627,-6918),(-6343,9663),(-3299,-7886)]]),37,37,58,74)
((31,[[(-6099,-34199),(2987,8928),(2643,3240),(27162,-9840)],[(486,18126),(13626,7248),(11754,-30272),(22700,3264)],[(-10388,13654),(-33593,-13441),(-5657,3823),(22162,-2494)],[(-8117,-15865),(-20623,9284),(-8311,-30980),(-15698,6568)]]),38,38,62,76)
((32,[[(24880,-53949),(4020,19893),(7724,1010),(-13653,-10319)],[(6743,-5930),(2441,6342),(2,-53784),(34371,9699)],[(-10749,-13078),(-17491,-33854),(28890,2352),(21083,-35661)],[(-19506,-4215),(-27378,40439),(1080,22366),(31595,3493)]]),43,43,63,85)
((35,[[(125803,-69071),(72893,-35491),(64223,46777),(-27889,-9953)],[(-32289,25252),(63150,30107),(97709,-1486),(116994,67441)],[(-66404,-81454),(78654,92040),(-26272,26206),(4506,-85208)],[(-23775,21744),(-90098,10813),(113227,65578),(-7886,-88905)]]),47,47,69,92)
((41,[[(-541099,216327),(-419371,-189979),(1012445,653493),(414871,-152505)],[(277137,447786),(247472,519547),(-349676,649039),(71824,-1020711)],[(766432,891011),(-522221,-258958),(-123041,329318),(-115231,584006)],[(-109574,-434506),(-1146446,-42134),(-279774,39210),(-636666,-443794)]]),50,50,81,99)
((30,[[(2234,15088),(-2566,-13224),(-2070,12786),(-15564,-15800)],[(-9350,849),(-7434,-3015),(-9771,-24509),(-14992,-566)],[(-21839,7079),(-1323,-12757),(9998,5212),(1606,15890)],[(7306,13135),(25742,887),(4047,-8143),(-6376,7814)]]),35,35,60,67)
((44,[[(441325,-1288597),(-435906,3043817),(-996409,2246228),(213814,-444986)],[(-94381,-62807),(-2040620,776369),(2640531,202642),(-231182,2396986)],[(-594709,-1905633),(-146809,862168),(-346070,-2091421),(-2882594,-197558)],[(817831,3327179),(324835,1581160),(82786,-199217),(-1752650,-359598)]]),52,52,87,103)
((34,[[(-22297,-18654),(-73554,39969),(2586,-42311),(-86776,217)],[(16411,-9954),(11322,73245),(41462,-67675),(56188,-43155)],[(63579,-50496),(-18276,52997),(-43464,68661),(-426,-29007)],[(-79063,55886),(-20478,33423),(-20266,45495),(18120,-58825)]]),44,44,66,86)
((52,[[(6107287,1461365),(35945983,-29559207),(-26317584,32412460),(11189532,-20734422)],[(11299894,-7314155),(-20549616,-24976953),(-34688494,147186),(-3008323,45430353)],[(-7396444,-21012386),(24219200,24317322),(8564460,32646060),(-30855378,27171686)],[(24596022,56407345),(-1354600,10576747),(7007162,19206458),(-3103999,13248437)]]),64,64,104,127)
((54,[[(-1054303,35213665),(-44136896,27397982),(-27870047,106247371),(-16881808,-41525064)],[(75416986,72861172),(-17494278,-15555182),(-29462728,-7835366),(-13128520,73267384)],[(-58087272,41357623),(31419023,48981697),(6181069,21638194),(77374756,55228460)],[(-10982579,23908396),(-106643633,2905847),(55536386,-37802151),(35603284,-12648124)]]),60,60,108,119)
((30,[[(8524,9480),(8355,4367),(325,-19500),(-3022,-20805)],[(7408,-19708),(-5279,-15769),(14010,1051),(1727,-12392)],[(9544,19096),(-16252,-9304),(10074,2182),(-12046,3994)],[(1508,-3148),(4292,18418),(9913,17073),(-15361,-8843)]]),31,31,60,61)
((41,[[(370951,16326),(590733,-576250),(441206,-962075),(37524,-508393)],[(-523933,476),(436185,4120),(-613292,343113),(422510,-1030473)],[(1102851,363896),(-386327,-297876),(-201600,421705),(586018,-224609)],[(-646027,143508),(-951697,-428968),(589212,-138817),(477618,-277087)]]),59,59,80,118)
((38,[[(212554,-367454),(-88778,138711),(69239,-192589),(125156,-100027)],[(-163414,13070),(107571,225842),(336959,177005),(197849,-37556)],[(-62258,-217202),(-10796,-213093),(280381,41093),(-27325020,-176170),(-1026276,-607694),(19046,-289084),(-1433006,890972)]]),50,50,83,98)
((40,[[(142334,718859),(-681182,-17023),(-60033,130454),(278275,-11684)],[(391189,-312296),(-317489,-193264),(-703796,-198841),(-226122,353279)],[(-121874,263255),(441874,330405),(-558597,-348650),(525951,-26892)],[(465074,-107175),(212302,-384149),(331509,23178),(614193,437516)]]),62,62,78,122)
((33,[[(34378,41893),(42240,22233),(-29010,-45647),(-21194,-355)],[(-30761,-30155),(-22387,27331),(-31265,-22331),(-35437,52481)],[(-13687,10870),(38589,-37240),(51429,-4126),(-25151,45978)],[(46600,36338),(-42844,18754),(15424,35898),(-17280,32946)]]),40,40,65,78)
((42,[[(740202,-1274090),(-850026,903590),(-220642,-705654),(214538,-308490)],[(897579,746065),(651361,862109),(-758375,521111),(999259,-151903)],[(570793,447000),(651268,996587),(855433,-451062),(-1212135,224952)],[(425986,-396867),(-509807,119522),(-438264,1370193),(-740030,1080621)]]),57,57,83,112)
((44,[[(-706709,-27061),(-1398248,490002),(-845780,-2619365),(-1690060,2112841)],[(2076059,-415009),(3031452,974798),(10402,-1640603),(-527258,17687)],[(755949,-1581155),(-1483848,1066478),(-1871988,-887131),(297396,-2608009)],[(-127699,3085765),(493536,-1293946),(-1665368,-509207),(-983768,-1461341)]]),59,59,87,118)
((40,[[(106763,677227),(-422241,-566401),(-58935,-92499),(79783,334641)],[(309668,400782),(418324,276182),(-644848,-313562),(-274082,-49484)],[(-472791,-39868),(25285,188212),(-497039,50266),(685400,344935)],[(372588,-94941),(488380,-273065),(311610,-476085),(560851,16880)]]),57,57,79,110)
((39,[[(-311651,-466594),(-230240,-343929),(160431,185442),(-54002,24059)],[(-269696,149820),(259356,15384),(-194976,454548),(186140,328320)],[(342468,-87883),(-439163,292958),(33236,312615),(55389,210140)],[(95349,75089),(169051,-60739),(378319,-55149),(-401511,442019)]]),43,43,77,86)
